id,age,female,area,educ_years,income,pol_interest,pol_know,gotv,vote_intent
1,49,0,urban,11,29.4,2,1,0,3.8
2,68,0,suburban,8,14.3,5,3,0,4.8
3,44,0,suburban,16,75.6,5,7,0,4.9
4,47,1,urban,11,37.6,3,3,0,3.8
5,47,1,urban,12,49.7,6,4,0,5.1
6,58,1,urban,14,71.3,7,7,0,5.7
7,58,1,urban,15,82.8,7,4,1,6.9
8,38,1,urban,12,48.1,5,3,0,5.4
9,42,0,suburban,15,51.4,6,4,0,6.9
10,77,0,suburban,13,39.1,5,6,1,8.0
11,61,0,suburban,15,79.4,5,5,0,6.7
12,65,0,urban,17,58.6,6,6,0,4.3
13,49,1,rural,10,37.5,3,0,0,4.3
14,67,1,urban,15,90.1,9,7,1,7.1
15,48,1,rural,16,44.7,5,8,1,6.2
16,45,0,suburban,10,31.3,4,1,0,4.7
17,49,0,suburban,13,62.8,5,6,0,5.7
18,33,0,urban,15,41.2,5,3,0,5.0
19,57,0,urban,14,33.3,6,5,1,6.6
20,58,1,urban,13,23.9,7,6,1,7.3
21,27,1,suburban,12,30.6,5,6,0,3.6
22,58,1,rural,13,42.6,2,3,0,4.9
23,37,0,rural,11,41.9,2,0,0,4.9
24,78,0,urban,15,46.3,6,5,1,7.5
25,58,0,rural,12,38.9,6,1,1,5.7
26,46,1,rural,12,53.2,6,1,0,5.2
27,43,1,rural,10,27.6,6,3,1,5.7
28,57,1,suburban,11,67.9,5,6,0,4.5
29,47,0,urban,11,63.1,4,3,0,3.0
30,38,1,rural,12,19.7,2,4,0,0.9
31,58,0,suburban,11,48.7,5,3,0,5.1
32,45,0,suburban,13,68.4,3,1,0,2.6
33,45,0,rural,13,49.5,5,4,0,5.1
34,49,0,suburban,12,89.3,4,2,0,6.2
35,61,1,urban,15,73.7,8,7,1,9.7
36,64,1,urban,13,59.2,1,5,0,5.4
37,54,1,urban,17,39.8,8,7,0,6.8
38,52,0,urban,13,71.4,4,3,1,8.6
39,18,1,suburban,18,57.4,7,7,1,6.7
40,55,1,rural,10,46.3,4,6,1,6.7
41,57,0,suburban,14,41.4,7,4,1,6.6
42,37,1,urban,15,47.7,4,4,0,3.6
43,70,1,suburban,15,48.1,4,4,0,5.8
44,45,0,urban,14,66.8,5,6,0,6.5
45,51,1,suburban,15,43.5,8,7,0,6.2
46,36,1,urban,18,40.9,5,5,0,6.8
47,82,1,suburban,11,26.2,6,4,0,5.3
48,42,0,rural,13,23.6,4,3,0,4.9
49,61,0,rural,15,58.8,5,5,1,6.7
50,32,0,urban,11,59.6,4,6,0,5.9
51,51,0,urban,12,60.2,3,5,0,4.8
52,59,0,suburban,15,48.9,6,5,1,5.2
53,41,0,suburban,20,92.7,8,8,0,9.0
54,50,1,rural,19,42.5,6,7,1,7.9
55,57,0,suburban,13,58.1,5,4,1,5.4
56,46,1,rural,16,62.4,9,6,1,8.8
57,58,1,urban,16,65.9,2,3,0,2.4
58,72,1,suburban,17,98.6,6,8,0,6.8
59,60,1,rural,8,17.4,2,2,0,2.6
60,50,0,urban,17,40.1,8,5,1,7.5
61,35,0,urban,15,37.8,4,5,0,3.4
62,64,1,suburban,17,67.1,4,1,0,3.7
63,73,1,urban,14,52.4,8,5,0,7.2
64,34,0,suburban,14,54.8,6,4,0,6.8
65,40,0,suburban,11,32.8,2,2,1,7.1
66,51,0,suburban,11,21.1,3,4,0,3.1
67,25,1,urban,15,57.8,4,6,1,6.9
68,51,1,rural,15,48.4,5,7,0,5.1
69,64,0,suburban,9,35.8,5,3,0,5.0
70,55,1,suburban,11,52.0,6,3,0,4.5
71,37,0,urban,10,18.6,4,2,0,3.8
72,52,1,suburban,14,34.0,5,8,1,9.4
73,37,1,urban,13,21.8,5,2,0,2.3
74,31,1,urban,13,19.5,3,3,0,5.0
75,66,1,suburban,14,36.6,7,6,0,7.1
76,58,0,urban,10,30.8,2,2,0,1.8
77,62,1,urban,14,48.7,8,5,0,7.1
78,51,0,suburban,8,27.9,5,2,0,2.3
79,67,0,urban,14,55.4,7,3,0,4.9
80,73,0,urban,11,26.2,6,2,0,4.9
81,48,1,suburban,14,43.2,4,5,1,7.0
82,20,0,suburban,14,25.6,5,5,0,4.5
83,19,0,urban,11,17.4,1,1,0,0.7
84,24,0,urban,12,22.8,4,6,0,1.6
85,27,0,urban,17,31.8,5,6,0,5.5
86,65,1,suburban,15,30.8,5,5,0,5.9
87,38,1,rural,14,35.0,4,5,1,3.9
88,46,1,rural,13,57.7,3,3,1,5.5
89,49,1,urban,14,48.7,8,7,1,6.9
90,72,1,urban,11,27.7,1,3,0,2.2
91,69,0,urban,13,40.5,6,3,0,6.5
